,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
0,Oliver Francis,Tru$T,6j3oPu8hY1F5vUorhdztCQ,vybes,0.551,0.161,140.058,0.136,0.181,0.0,0.623,9,150844,-7.761,0.198,1
1,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,vybes,0.435,0.147,120.058,0.178,0.47,0.0,0.843,8,208080,-8.442,0.19,1
2,Mike Stud,W.I.N.,5Qqbava51p37F96wR8PCic,vybes,0.502,0.0941,76.011,0.0998,0.226,5.27e-05,0.797,6,176901,-8.65,0.214,0
3,blackbear,chateau,13JyykwyYQ3T5QxxL34ukQ,vybes,0.635,0.367,98.011,0.0518,0.0503,0.0,0.667,11,212927,-5.761,0.478,0
4,Oliver Francis,Aahhyeahh,29oQlTERHAlTPHEYw5xvZy,vybes,0.67,0.358,144.983,0.0622,0.0223,0.138,0.631,3,185491,-9.829,0.0611,1
5,Cam Meekins,High (feat. Skizzy Mars),3vNP0nDd63SfhLpDSkvi6h,vybes,0.574,0.755,115.026,0.0376,0.00887,0.0,0.781,2,214600,-5.97,0.802,1
6,Hoodie Allen,Surprise Party (feat. Blackbear),5UiT4e4DHwZrcVIXojU5um,vybes,0.699,0.173,72.946,0.0647,0.00453,0.000277,0.671,6,188040,-4.224,0.379,0
7,GOLDN,mama i'm so sorry..,5Bm7qjdpAhwJQ3oDiSJxWN,vybes,0.607,0.0888,105.139,0.0336,0.438,0.0,0.632,11,151146,-3.827,0.221,0
8,6 Dogs,Faygo Dreams,2BoeDIEzoS9diuyaqqVaDh,vybes,0.66,0.101,137.033,0.0487,0.224,0.053,0.748,6,171907,-4.704,0.328,1
9,Lil Skies,Pop Star,64PiOjYeHRjU5NNjXBGvdn,vybes,0.703,0.0998,155.008,0.12,0.0374,0.000189,0.729,9,136777,-6.771,0.437,0
10,FKi 1st,The Meaning,6BC5qv70s01qQpFyKSsuLV,vybes,0.455,0.0798,144.029,0.0905,0.0949,0.0,0.678,11,225008,-10.393,0.571,0
11,Yung Pinch,20 Years Later,259M6SeIw5xXpOCEwZcSmI,vybes,0.518,0.113,144.962,0.111,0.235,0.0,0.762,9,215189,-7.282,0.546,0
12,Lil Peep,Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,vybes,0.574,0.146,120.013,0.0286,0.0175,0.00294,0.669,4,196400,-6.442,0.273,0
13,Mike Stud,Frio,2e3OgIbfZw5deCjLMGatSS,vybes,0.541,0.126,90.082,0.214,0.294,2.15e-05,0.738,11,178887,-4.991,0.396,0
14,Vic Mensa,Liquor Locker,5YbrqNUUleF39Ai3b3ruQy,vybes,0.433,0.0545,79.3,0.191,0.0528,0.0,0.584,6,258120,-7.126,0.452,0
15,Mike Stud,Lost Me,5LG63eRhfNFYyCGU1QZXCo,vybes,0.531,0.0706,91.965,0.133,0.401,2.35e-05,0.787,4,171572,-6.468,0.28,0
16,Mike Stud,Things I Like,70MDx0KJl9pmilnUGPkj8k,vybes,0.403,0.138,119.945,0.206,0.624,0.0293,0.768,6,226638,-10.803,0.395,0
17,Mike Stud,Crash Dummy,5Ow8boivJOFbOhTkYAvl9u,vybes,0.567,0.13,150.046,0.055,0.109,0.000164,0.779,9,220813,-6.51,0.54,0
18,Khalid,Better,4T3fNx3CgwDRRYgmFCbD4J,vybes,0.585,0.14,97.565,0.0964,0.0984,0.391,0.442,0,229413,-10.332,0.116,0
19,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,vybes,0.597,0.195,100.051,0.037,0.339,0.0404,0.585,0,324674,-7.499,0.227,1
20,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,vybes,0.554,0.116,128.047,0.0409,0.283,3.4e-06,0.785,0,150043,-6.571,0.144,1
21,Travis Scott,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,vybes,0.686,0.375,148.054,0.0367,0.00146,0.0,0.46,0,145588,-5.948,0.252,0
22,Travis Scott,WAKE UP,20MuVazoNMv6xjKPnRFOxG,vybes,0.645,0.163,149.07,0.0963,0.192,0.0,0.741,11,231964,-5.116,0.488,0
23,Kid Cudi,Kitchen,0Jcij1eWd5bDMU5iPbxe2i,vybes,0.801,0.133,129.98,0.035,0.137,0.0397,0.725,5,268747,-5.326,0.666,0
24,Kid Cudi,Cosmic Warrior,3uEBYVUzx2aft489ui6Nmi,vybes,0.787,0.0951,129.987,0.0296,0.229,0.189,0.58,9,240973,-6.591,0.278,0
25,Kid Cudi,Erase Me - Main,6XkuklKiHYVTlVvWlTgQYP,vybes,0.631,0.108,186.066,0.13,0.063,0.0,0.688,9,192253,-5.612,0.854,1
26,Kid Cudi,Mojo So Dope,6hPSal3ragmfUt1I5mKZjn,vybes,0.785,0.348,180.036,0.0668,0.549,0.842,0.614,6,210587,-8.224,0.853,0
27,Kid Cudi,Heart Of A Lion (Kid Cudi Theme Music),246SdvVYT3yrZPXU7NSWwy,vybes,0.452,0.0923,125.015,0.0328,0.308,0.0064,0.723,11,261360,-9.42,0.375,0
28,Kid Cudi,My World,018Lv2nSK23HDJeqmvw1A8,vybes,0.412,0.116,147.915,0.0319,0.719,0.000978,0.666,6,243000,-10.186,0.496,0
29,Kid Cudi,Sky Might Fall,6gyaXDZS45uIpyETSTibQ9,vybes,0.722,0.245,194.276,0.141,0.252,0.107,0.565,10,220907,-7.565,0.347,0
30,Kid Cudi,Alive (Nightmare),1Zt4rVKL5cazgN54WibvLt,vybes,0.808,0.208,101.784,0.0418,0.27,0.0,0.71,6,246760,-4.877,0.698,0
31,Kid Cudi,Cudi Zone,6P9uVc2SxCOAiextf4udxk,vybes,0.691,0.366,134.751,0.0338,0.546,1.3e-06,0.706,9,259040,-5.86,0.597,0
32,Kid Cudi,Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,vybes,0.605,0.298,115.277,0.0414,0.484,9.29e-05,0.63,0,295293,-8.951,0.266,1
33,Kid Cudi,Hyyerr,2FPmKIojpcMK86GJBx9KJI,vybes,0.65,0.622,119.98,0.0821,0.283,0.0,0.726,4,212107,-3.96,0.584,0
34,Kanye West,Waves,3nAq2hCr1oWsIU54tS98pL,vybes,0.586,0.339,96.091,0.0382,0.0528,7.33e-06,0.557,10,181573,-4.57,0.0681,1
35,Kanye West,FML,30Zcjs7pgEkmJA1lEbGSWT,vybes,0.415,0.195,125.357,0.131,0.329,0.0,0.527,5,236120,-7.184,0.12,1
36,Kanye West,Real Friends,66Q3fAmSX5eHamgbKa9alP,vybes,0.744,0.138,81.396,0.476,0.262,0.000382,0.441,6,251573,-6.248,0.124,0
37,Kanye West,Runaway,3DK6m7It6Pw857FcQftMds,vybes,0.568,0.512,86.986,0.0703,0.218,0.0021,0.571,1,547733,-3.827,0.109,0
38,Kanye West,I Wonder,6bXOlIfGIWh7Tyn4oyvLQW,vybes,0.476,0.135,191.259,0.111,0.13,0.000252,0.54,0,243440,-8.658,0.116,1
39,Kanye West,Flashing Lights,0ua0Go4NN4Td7l0Zre6Ce3,vybes,0.649,0.482,90.482,0.0486,0.0315,0.0,0.634,6,237507,-7.505,0.509,0
40,Kendrick Lamar,LOVE.,4YKgVucaN7GIp6p9PayFHK,vybes,0.585,0.153,126.058,0.0924,0.264,0.0,0.8,10,213400,-7.343,0.779,1
41,Kendrick Lamar,Money Trees,0AOvNRgl0SMfOibWA5bP8o,vybes,0.531,0.224,71.994,0.122,0.0703,0.0,0.716,7,386907,-7.355,0.344,1
42,Kendrick Lamar,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,vybes,0.572,0.246,135.956,0.378,0.157,0.0,0.779,6,300160,-9.985,0.647,0
43,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,vybes,0.485,0.604,74.132,0.404,0.123,2.69e-05,0.716,1,313787,-7.745,0.26,1
44,Kendrick Lamar,GOD.,3ULdAFPDKDbjizfRPXZLyO,vybes,0.557,0.276,132.98,0.0813,0.0347,0.0,0.706,0,248827,-5.8,0.205,1
45,Kendrick Lamar,A.D.H.D,2MYl0er3UZ1RlKwRb5LODh,vybes,0.799,0.108,157.74,0.24,0.33,0.0,0.609,9,215509,-6.883,0.582,1
46,Kendrick Lamar,No Make-Up (Her Vice),7yQDLdub1VuUUwbpteUX7w,vybes,0.696,0.63,91.002,0.0901,0.541,0.00521,0.535,5,235921,-7.181,0.213,0
47,Kendrick Lamar,Tammy's Song (Her Evils),3RPK9VQuTsiTySY48ldeqx,vybes,0.835,0.129,97.317,0.438,0.924,0.000508,0.477,9,161671,-5.942,0.52,0
48,Kendrick Lamar,The Spiteful Chant,12bCgkFnyyTI8B1OmmRhbx,vybes,0.783,0.181,127.018,0.0313,0.0506,0.0,0.596,0,320957,-4.356,0.334,0
49,A$AP Rocky,Fashion Killa,40H5libEZWrbkc8HTlXGbt,vybes,0.82,0.531,140.042,0.152,0.315,0.0,0.794,11,236280,-5.214,0.793,1
50,Big Sean,Halfway Off The Balcony,4atJ40xfasjdM9ZF3p07BV,vybes,0.804,0.228,125.068,0.25,0.329,0.0,0.525,8,230960,-6.453,0.143,1
51,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,vybes,0.81,0.117,129.014,0.0568,0.501,0.0,0.839,5,209269,-5.274,0.814,0
52,Drake,Headlines,6LxSe8YmdPxy095Ux6znaQ,vybes,0.566,0.0917,151.894,0.106,0.365,0.000353,0.636,6,235987,-7.16,0.425,0
53,Drake,Best I Ever Had,3fyMH1t6UPeR5croea9PrR,vybes,0.861,0.277,161.776,0.376,0.219,0.0,0.427,1,257760,-4.874,0.581,1
54,French Montana,No Stylist,04MLEeAMuV9IlHEsD8vF6A,vybes,0.704,0.227,147.055,0.127,0.0215,0.0,0.765,5,192172,-4.589,0.498,0
55,French Montana,Famous,6aTNfIir5pZmrFOC1gnxXB,vybes,0.598,0.121,99.948,0.162,0.0234,1.64e-05,0.722,6,244975,-6.755,0.569,1
56,Future,Comin Out Strong,1B87ZDrD3Pno9hS4stamWO,vybes,0.481,0.118,108.761,0.475,0.29,0.0,0.628,1,254370,-7.775,0.33,1
57,Future,Low Life,7EiZI6JVHllARrX9PUvAdX,vybes,0.331,0.146,143.974,0.0725,0.337,0.283,0.722,8,313547,-7.789,0.102,1
58,Juice WRLD,All Girls Are The Same,0XySogm94T51XF5F2jumXm,vybes,0.529,0.0856,161.989,0.307,0.0769,0.000335,0.671,0,165820,-7.226,0.203,1
59,Juice WRLD,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,vybes,0.651,0.0896,163.935,0.156,0.0414,0.0,0.665,1,175755,-5.515,0.237,1
60,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,vybes,0.798,0.143,142.049,0.0844,0.115,0.0,0.594,4,191840,-5.244,0.381,1
61,Juice WRLD,Black & White,1R0Ig5KYrSGWvIoPzY4T3l,vybes,0.736,0.159,147.946,0.247,0.0802,0.0,0.776,7,186945,-4.612,0.233,1
62,Juice WRLD,Scared Of Love,2yN3r3qywFipxJlUdmOO8M,vybes,0.562,0.168,158.001,0.0812,0.032,0.0,0.642,11,170539,-4.869,0.177,0
