,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
0,Oliver Francis,Tru$T,6j3oPu8hY1F5vUorhdztCQ,vybes,0.551,0.161,140.058,0.136,0.18100000000000002,0.0,0.623,9,150844,-7.761,0.198,1,1
1,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,vybes,0.435,0.147,120.05799999999999,0.17800000000000002,0.47,0.0,0.843,8,208080,-8.442,0.19,1,2
2,Mike Stud,W.I.N.,5Qqbava51p37F96wR8PCic,vybes,0.502,0.0941,76.01100000000001,0.0998,0.226,5.27e-05,0.797,6,176901,-8.65,0.214,0,1
3,blackbear,chateau,13JyykwyYQ3T5QxxL34ukQ,vybes,0.635,0.36700000000000005,98.01100000000001,0.0518,0.0503,0.0,0.667,11,212927,-5.761,0.478,0,0
4,Oliver Francis,Aahhyeahh,29oQlTERHAlTPHEYw5xvZy,vybes,0.67,0.358,144.983,0.0622,0.0223,0.138,0.631,3,185491,-9.829,0.0611,1,1
5,Cam Meekins,High (feat. Skizzy Mars),3vNP0nDd63SfhLpDSkvi6h,vybes,0.574,0.755,115.02600000000001,0.0376,0.008870000000000001,0.0,0.7809999999999999,2,214600,-5.97,0.802,1,0
6,Hoodie Allen,Surprise Party (feat. Blackbear),5UiT4e4DHwZrcVIXojU5um,vybes,0.6990000000000001,0.17300000000000001,72.946,0.0647,0.004529999999999999,0.000277,0.6709999999999999,6,188040,-4.224,0.379,0,1
7,GOLDN,mama i'm so sorry..,5Bm7qjdpAhwJQ3oDiSJxWN,vybes,0.607,0.0888,105.139,0.0336,0.43799999999999994,0.0,0.632,11,151146,-3.827,0.221,0,2
8,6 Dogs,Faygo Dreams,2BoeDIEzoS9diuyaqqVaDh,vybes,0.66,0.10099999999999999,137.033,0.0487,0.22399999999999998,0.053,0.748,6,171907,-4.704,0.32799999999999996,1,1
9,Lil Skies,Pop Star,64PiOjYeHRjU5NNjXBGvdn,vybes,0.703,0.0998,155.00799999999998,0.12,0.0374,0.00018899999999999999,0.7290000000000001,9,136777,-6.771,0.43700000000000006,0,1
10,FKi 1st,The Meaning,6BC5qv70s01qQpFyKSsuLV,vybes,0.455,0.0798,144.029,0.0905,0.0949,0.0,0.6779999999999999,11,225008,-10.392999999999999,0.5710000000000001,0,0
11,Yung Pinch,20 Years Later,259M6SeIw5xXpOCEwZcSmI,vybes,0.518,0.113,144.96200000000002,0.111,0.235,0.0,0.762,9,215189,-7.282,0.546,0,0
12,Lil Peep,Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,vybes,0.574,0.146,120.01299999999999,0.0286,0.0175,0.00294,0.669,4,196400,-6.442,0.273,0,1
13,Mike Stud,Frio,2e3OgIbfZw5deCjLMGatSS,vybes,0.541,0.126,90.08200000000001,0.214,0.294,2.15e-05,0.738,11,178887,-4.9910000000000005,0.396,0,1
14,Vic Mensa,Liquor Locker,5YbrqNUUleF39Ai3b3ruQy,vybes,0.433,0.0545,79.3,0.191,0.0528,0.0,0.584,6,258120,-7.126,0.452,0,1
15,Mike Stud,Lost Me,5LG63eRhfNFYyCGU1QZXCo,vybes,0.531,0.0706,91.965,0.133,0.401,2.35e-05,0.787,4,171572,-6.468,0.28,0,2
16,Mike Stud,Things I Like,70MDx0KJl9pmilnUGPkj8k,vybes,0.40299999999999997,0.138,119.945,0.20600000000000002,0.624,0.0293,0.768,6,226638,-10.802999999999999,0.395,0,2
17,Mike Stud,Crash Dummy,5Ow8boivJOFbOhTkYAvl9u,vybes,0.5670000000000001,0.13,150.046,0.055,0.109,0.000164,0.779,9,220813,-6.51,0.54,0,0
18,Khalid,Better,4T3fNx3CgwDRRYgmFCbD4J,vybes,0.585,0.14,97.565,0.0964,0.0984,0.391,0.442,0,229413,-10.332,0.11599999999999999,0,1
19,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,vybes,0.597,0.195,100.051,0.037000000000000005,0.33899999999999997,0.0404,0.585,0,324674,-7.499,0.22699999999999998,1,1
20,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,vybes,0.5539999999999999,0.11599999999999999,128.047,0.0409,0.28300000000000003,3.4e-06,0.785,0,150043,-6.571000000000001,0.14400000000000002,1,1
21,Travis Scott,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,vybes,0.6859999999999999,0.375,148.054,0.0367,0.00146,0.0,0.46,0,145588,-5.9479999999999995,0.252,0,1
22,Travis Scott,WAKE UP,20MuVazoNMv6xjKPnRFOxG,vybes,0.645,0.163,149.07,0.0963,0.192,0.0,0.741,11,231964,-5.1160000000000005,0.488,0,0
23,Kid Cudi,Kitchen,0Jcij1eWd5bDMU5iPbxe2i,vybes,0.8009999999999999,0.133,129.98,0.035,0.13699999999999998,0.0397,0.725,5,268747,-5.3260000000000005,0.6659999999999999,0,0
24,Kid Cudi,Cosmic Warrior,3uEBYVUzx2aft489ui6Nmi,vybes,0.787,0.0951,129.987,0.0296,0.22899999999999998,0.18899999999999997,0.58,9,240973,-6.591,0.278,0,1
25,Kid Cudi,Erase Me - Main,6XkuklKiHYVTlVvWlTgQYP,vybes,0.631,0.10800000000000001,186.06599999999997,0.13,0.063,0.0,0.688,9,192253,-5.612,0.8540000000000001,1,0
26,Kid Cudi,Mojo So Dope,6hPSal3ragmfUt1I5mKZjn,vybes,0.785,0.348,180.03599999999997,0.0668,0.5489999999999999,0.8420000000000001,0.614,6,210587,-8.224,0.853,0,0
27,Kid Cudi,Heart Of A Lion (Kid Cudi Theme Music),246SdvVYT3yrZPXU7NSWwy,vybes,0.452,0.0923,125.015,0.0328,0.308,0.0064,0.723,11,261360,-9.42,0.375,0,1
28,Kid Cudi,My World,018Lv2nSK23HDJeqmvw1A8,vybes,0.41200000000000003,0.11599999999999999,147.915,0.0319,0.7190000000000001,0.000978,0.6659999999999999,6,243000,-10.186,0.496,0,2
29,Kid Cudi,Sky Might Fall,6gyaXDZS45uIpyETSTibQ9,vybes,0.722,0.245,194.27599999999998,0.141,0.252,0.107,0.565,10,220907,-7.565,0.34700000000000003,0,1
30,Kid Cudi,Alive (Nightmare),1Zt4rVKL5cazgN54WibvLt,vybes,0.8079999999999999,0.20800000000000002,101.78399999999999,0.0418,0.27,0.0,0.71,6,246760,-4.877,0.698,0,0
31,Kid Cudi,Cudi Zone,6P9uVc2SxCOAiextf4udxk,vybes,0.691,0.366,134.751,0.0338,0.546,1.3e-06,0.706,9,259040,-5.86,0.597,0,2
